emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
senior inspector,10,CO,MORTGAGE,88000,Source Verified,3.67,NA,,NA,0,44,1984,6,65,21,259915,14387,0,0,NA,0,0,0,7,0,21,0,0,4,70800,53,20,6,3,98.4,0,0,credit_card,individual,17000,60,9.43,356.46,B,B1,Feb-18,Current,whole,DirectPay,16326.13,1060.47,673.87,386.6,0
dental hygienist,10,TN,MORTGAGE,60000,Not Verified,38.46,NA,,NA,0,NA,1995,0,21,11,136815,75552,0,0,NA,0,0,3,1,NA,11,0,0,3,39700,10,8,3,2,100,0,0,credit_card,individual,20000,60,19.03,519.15,D,D3,Feb-18,Current,whole,Cash,19172.64,2023.74,827.36,1196.38,0
operational risk manager,10,IL,MORTGAGE,210000,Verified,9.53,NA,,NA,0,NA,2003,2,18,7,322046,73705,0,0,NA,0,0,4,6,2,7,NA,0,2,17500,6,2,2,5,100,0,0,medical,individual,5000,36,26.77,203.51,E,E5,Feb-18,Fully Paid,fractional,Cash,0,5202.642672,5000,202.64,0
controller,3,SC,MORTGAGE,80000,Source Verified,28.3,NA,,NA,0,35,2004,0,27,14,250359,113927,0,0,NA,0,0,2,4,20,14,0,0,3,23800,14,11,6,4,96.3,0,0,debt_consolidation,individual,28000,60,20.39,747.92,D,D4,Mar-18,Current,whole,Cash,27169.59,2180.32,830.41,1349.91,0
reader advisor,10,VA,RENT,77000,Source Verified,14.82,NA,,NA,0,80,1977,0,29,14,74852,44015,0,0,80,0,0,2,5,16,14,0,0,3,27700,19,11,6,3,96.6,0,0,debt_consolidation,individual,35000,60,15.05,833.57,C,C4,Jan-18,Current,whole,Cash,33391.61,3275.75,1608.39,1667.36,0
lead teller,2,NE,RENT,30000,Not Verified,3.64,NA,,NA,0,NA,2012,0,9,7,18000,5542,0,0,NA,0,0,0,1,NA,7,0,0,2,17000,8,7,3,0,100,0,0,car,individual,16000,60,9.93,339.41,B,B2,Jan-18,Current,whole,Cash,14947.68,1688.22,1052.32,635.9,0
rn,10,VA,MORTGAGE,114000,Verified,28.13,NA,,NA,1,15,2001,1,28,17,451597,88594,0,0,15,0,0,6,8,12,17,0,0,2,33000,14,10,8,5,96.4,0,0,credit_card,individual,20000,60,14.07,466.1,C,C3,Mar-18,Current,whole,Cash,19297.02,1367.03,702.98,664.05,0
asst to the director of theatre,3,KY,RENT,24000,Source Verified,16.3,NA,,NA,0,NA,2011,1,11,11,54966,42068,0,0,NA,0,0,9,3,1,11,0,0,1,10000,2,2,1,0,100,0,0,major_purchase,individual,10450,60,19.42,273.5,D,D3,Mar-18,Current,whole,Cash,9609.03,1297.95,840.97,456.98,0
senior accounts payable clerk,10,FL,MORTGAGE,43000,Source Verified,1.56,NA,,NA,0,NA,1984,3,30,15,45100,860,0,0,NA,0,0,0,8,0,15,0,0,3,35600,21,15,3,2,100,0,0,home_improvement,individual,40000,60,9.43,838.71,B,B1,Mar-18,Current,whole,Cash,37877.63,3220.14,2122.37,1097.77,0
,NA,WY,RENT,31812,Not Verified,37.83,NA,,NA,0,NA,2000,0,16,8,58700,38487,0,0,NA,0,0,0,1,NA,8,0,0,6,48400,15,7,6,0,100,0,0,debt_consolidation,individual,10000,60,21.85,275.34,D,D5,Feb-18,Current,whole,Cash,9715.1,838.16,284.9,553.26,0
education specialist,0,PA,MORTGAGE,65000,Source Verified,29.36,NA,,NA,7,15,2000,0,14,12,86480,66933,0,0,NA,0,0,9,0,NA,12,0,0,3,34900,4,3,3,0,50,0,0,debt_consolidation,individual,30000,36,17.47,1076.62,D,D1,Mar-18,Current,whole,Cash,28052.31,3200.74,1947.69,1253.05,0
pipefitter,1,MA,RENT,40000,Source Verified,2.91,NA,,NA,0,NA,2014,2,6,4,15800,2523,0,0,NA,0,0,0,4,7,4,0,0,2,13800,6,4,3,0,100,0,0,car,individual,12000,36,9.92,386.76,B,B2,Mar-18,Current,whole,Cash,11130.17,1153.67,869.83,283.84,0
